"","months_as_customer","age","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital.gains","capital.loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","incident_city","incident_hour_of_the_day","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","total_claim_amount","injury_claim","property_claim","vehicle_claim","auto_make","auto_model","auto_year","fraud_reported"
"146",398,58,"OH","100/300",500,990.98,0,"FEMALE","Associate","exec-managerial","cross-fit","wife",0,-57900,"Single Vehicle Collision","Front Collision","Major Damage","Police","NC","Northbrook",18,1,"YES",2,1,"?",99320,7640,15280,76400,"Accura","TL",2002,"Y"
"148",209,38,"OH","100/300",500,1355.08,0,"FEMALE","MD","other-service","golf","other-relative",58100,0,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","WV","Northbrook",21,1,"?",1,1,"?",47300,4730,4730,37840,"Nissan","Pathfinder",2014,"N"
"149",82,27,"IL","100/300",1000,1384.51,0,"MALE","PhD","adm-clerical","reading","not-in-family",13100,-38200,"Single Vehicle Collision","Rear Collision","Major Damage","Other","SC","Springfield",14,1,"NO",2,3,"?",71680,8960,8960,53760,"Volkswagen","Jetta",2007,"Y"
"150",193,41,"OH","250/500",500,847.03,0,"FEMALE","JD","craft-repair","skydiving","not-in-family",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Other","SC","Springfield",1,1,"?",1,0,"YES",112320,17280,17280,77760,"Suburu","Impreza",2011,"Y"
"151",134,32,"OH","100/300",1000,1000.06,0,"FEMALE","PhD","farming-fishing","base-jumping","wife",0,0,"Single Vehicle Collision","Side Collision","Total Loss","Other","NY","Columbus",17,1,"?",1,0,"?",82720,7520,15040,60160,"Audi","A3",2014,"N"
"156",375,50,"OH","100/300",1000,1275.39,0,"MALE","Associate","sales","bungie-jumping","other-relative",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Police","NY","Riverwood",16,1,"YES",2,3,"NO",37280,0,0,37280,"Audi","A5",1996,"Y"
"157",461,61,"OH","100/300",2000,1402.75,0,"MALE","JD","exec-managerial","exercise","husband",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Columbus",10,3,"?",2,1,"YES",72100,7210,14420,50470,"Jeep","Wrangler",2006,"N"
"159",45,38,"IN","100/300",1000,1197.71,0,"MALE","Masters","machine-op-inspct","movies","not-in-family",29000,0,"Multi-vehicle Collision","Front Collision","Total Loss","Ambulance","WV","Springfield",17,3,"?",2,0,"?",78240,13040,13040,52160,"Suburu","Legacy",2013,"N"
"160",136,29,"OH","100/300",500,1203.24,0,"FEMALE","JD","transport-moving","video-games","other-relative",62500,-66900,"Vehicle Theft","?","Minor Damage","Police","NY","Columbus",9,1,"?",2,0,"?",6200,1240,620,4340,"Honda","Accord",1999,"N"
"161",216,36,"IN","500/1000",1000,1152.4,0,"FEMALE","Associate","priv-house-serv","reading","unmarried",39600,-82400,"Parked Car","?","Minor Damage","Police","VA","Springfield",0,1,"YES",2,3,"?",6160,560,1680,3920,"Mercedes","E400",2014,"N"
"163",295,48,"OH","500/1000",1000,1332.07,0,"FEMALE","MD","exec-managerial","polo","unmarried",49700,-59100,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","NY","Hillsdale",20,2,"NO",2,1,"YES",86060,13240,13240,59580,"Volkswagen","Passat",2002,"N"
"165",122,34,"IL","250/500",500,1495.06,0,"FEMALE","Masters","prof-specialty","polo","unmarried",38100,-31400,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","PA","Columbus",18,3,"NO",2,0,"YES",99990,18180,18180,63630,"Mercedes","E400",2011,"N"
"166",108,29,"IN","500/1000",1000,1337.92,0,"FEMALE","PhD","armed-forces","bungie-jumping","not-in-family",71400,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","WV","Columbus",4,3,"NO",2,2,"YES",61380,11160,5580,44640,"Suburu","Legacy",2012,"N"
"167",14,28,"OH","250/500",2000,1587.96,0,"FEMALE","Associate","craft-repair","board-games","unmarried",0,-26900,"Single Vehicle Collision","Rear Collision","Major Damage","Fire","WV","Riverwood",18,1,"?",2,1,"YES",71280,12960,12960,45360,"Audi","A5",2012,"Y"
"170",47,37,"IN","250/500",2000,1241.97,0,"MALE","High School","other-service","movies","not-in-family",75400,0,"Parked Car","?","Minor Damage","None","NY","Hillsdale",18,1,"NO",1,0,"NO",6700,670,670,5360,"Jeep","Wrangler",2011,"N"
"171",222,42,"IL","250/500",500,1124.6,0,"MALE","Associate","armed-forces","hiking","not-in-family",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Arlington",23,3,"YES",0,0,"?",51740,11940,7960,31840,"Jeep","Wrangler",2006,"N"
"172",119,28,"OH","250/500",2000,1079.92,0,"MALE","High School","machine-op-inspct","hiking","husband",88800,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","PA","Riverwood",1,1,"?",0,1,"YES",53600,6700,6700,40200,"Volkswagen","Jetta",2007,"Y"
"173",73,29,"IL","250/500",1000,1447.78,0,"MALE","College","protective-serv","board-games","wife",35100,-59900,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","SC","Arlington",15,3,"YES",1,0,"?",44910,4990,4990,34930,"Dodge","Neon",2001,"N"
"175",294,44,"IL","100/300",1000,1226.49,0,"FEMALE","PhD","farming-fishing","kayaking","unmarried",53900,0,"Vehicle Theft","?","Trivial Damage","None","WV","Riverwood",3,1,"NO",0,1,"NO",6100,610,1220,4270,"Ford","Fusion",2002,"N"
"176",324,46,"IN","100/300",2000,897.89,6000000,"MALE","MD","tech-support","board-games","wife",0,-41300,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","PA","Hillsdale",13,1,"?",1,0,"YES",79600,15920,15920,47760,"Jeep","Wrangler",2011,"N"
"177",155,34,"IN","100/300",500,1706.79,0,"MALE","Masters","protective-serv","dancing","other-relative",0,0,"Single Vehicle Collision","Front Collision","Minor Damage","Ambulance","OH","Hillsdale",1,1,"NO",1,1,"YES",77040,8560,8560,59920,"Honda","Civic",1998,"N"
"178",261,45,"IL","250/500",1000,1254.18,0,"FEMALE","PhD","prof-specialty","kayaking","other-relative",0,-45100,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","SC","Columbus",16,1,"YES",0,1,"?",62590,11380,11380,39830,"Volkswagen","Jetta",2003,"N"
"179",245,40,"IN","500/1000",500,885.08,0,"FEMALE","Masters","armed-forces","skydiving","other-relative",27000,-58900,"Single Vehicle Collision","Front Collision","Total Loss","Other","WV","Northbend",0,1,"YES",0,1,"NO",85150,13100,13100,58950,"Chevrolet","Malibu",1998,"N"
"180",235,39,"IL","100/300",500,1046.58,4000000,"MALE","MD","tech-support","exercise","wife",0,-31700,"Vehicle Theft","?","Trivial Damage","None","NY","Hillsdale",1,1,"?",2,1,"NO",4950,450,900,3600,"Chevrolet","Silverado",2010,"N"
"182",426,54,"IL","500/1000",2000,1097.71,0,"FEMALE","Masters","adm-clerical","reading","not-in-family",29600,-22300,"Single Vehicle Collision","Side Collision","Minor Damage","Police","SC","Springfield",13,1,"YES",2,3,"?",100800,16800,16800,67200,"Dodge","Neon",1997,"N"
"183",111,27,"IN","250/500",500,1363.77,4000000,"FEMALE","Masters","tech-support","exercise","husband",51100,0,"Single Vehicle Collision","Side Collision","Total Loss","Police","VA","Springfield",12,1,"YES",2,3,"NO",90970,16540,16540,57890,"Accura","RSX",2009,"N"
"184",86,26,"OH","100/300",500,1382.88,7000000,"MALE","JD","tech-support","cross-fit","other-relative",0,-30300,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC","Northbend",11,1,"?",1,1,"YES",81840,14880,7440,59520,"Chevrolet","Malibu",2011,"Y"
"185",296,46,"OH","100/300",1000,1141.35,7000000,"MALE","Masters","craft-repair","sleeping","not-in-family",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","NY","Northbend",18,1,"?",0,2,"NO",54900,5490,5490,43920,"Mercedes","C300",2013,"N"
"190",128,28,"OH","500/1000",1000,986.53,0,"FEMALE","High School","adm-clerical","polo","other-relative",62700,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","VA","Columbus",11,1,"NO",0,2,"YES",101860,18520,18520,64820,"Honda","CRV",2007,"N"
"191",449,57,"OH","250/500",2000,1440.68,0,"MALE","Associate","tech-support","movies","own-child",25000,0,"Parked Car","?","Minor Damage","None","SC","Riverwood",8,1,"YES",0,1,"YES",5390,980,980,3430,"Volkswagen","Passat",2008,"N"
"193",359,47,"OH","100/300",2000,1367.68,0,"FEMALE","MD","handlers-cleaners","basketball","unmarried",0,0,"Single Vehicle Collision","Front Collision","Total Loss","Police","SC","Arlington",13,1,"NO",0,3,"NO",55500,5550,11100,38850,"Mercedes","C300",2012,"N"
"194",19,32,"OH","500/1000",1000,1215.85,0,"MALE","High School","other-service","hiking","husband",42900,-90200,"Vehicle Theft","?","Minor Damage","Police","VA","Hillsdale",8,1,"YES",1,1,"YES",7040,1280,640,5120,"Nissan","Maxima",2015,"N"
"195",73,26,"IL","250/500",2000,1191.19,4000000,"MALE","MD","farming-fishing","basketball","not-in-family",29300,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","VA","Northbrook",9,3,"?",0,1,"YES",40160,5020,0,35140,"Chevrolet","Tahoe",2003,"N"
"197",196,36,"IN","250/500",2000,1463.07,0,"MALE","MD","armed-forces","skydiving","own-child",0,0,"Vehicle Theft","?","Trivial Damage","Police","WV","Springfield",3,1,"?",1,1,"NO",5300,530,530,4240,"Jeep","Grand Cherokee",2001,"Y"
"199",328,48,"IL","250/500",500,1411.43,0,"MALE","Masters","armed-forces","bungie-jumping","own-child",45100,-32800,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","NY","Riverwood",17,1,"YES",2,1,"NO",59400,5940,11880,41580,"Honda","Civic",2014,"N"
"200",285,43,"OH","100/300",2000,1512.58,0,"FEMALE","College","sales","paintball","other-relative",47600,0,"Vehicle Theft","?","Minor Damage","Police","SC","Arlington",7,1,"?",1,1,"?",2520,280,280,1960,"BMW","3 Series",1997,"N"
"201",30,31,"IL","250/500",2000,1153.35,0,"MALE","PhD","craft-repair","golf","not-in-family",0,0,"Vehicle Theft","?","Trivial Damage","Police","NY","Hillsdale",9,1,"NO",2,1,"YES",5760,960,960,3840,"Suburu","Impreza",2011,"N"
"204",468,62,"IL","100/300",500,1011.92,0,"MALE","PhD","machine-op-inspct","paintball","wife",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","SC","Riverwood",7,3,"YES",0,3,"?",64350,7150,7150,50050,"Chevrolet","Tahoe",2009,"N"
"205",241,39,"IL","250/500",2000,1042.26,0,"MALE","JD","sales","kayaking","husband",0,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","WV","Northbend",21,3,"NO",1,2,"?",19080,4240,2120,12720,"Saab","93",1995,"N"
"206",223,43,"OH","500/1000",500,1235.1,0,"FEMALE","Masters","tech-support","exercise","not-in-family",66400,-34400,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC","Springfield",14,1,"NO",2,1,"NO",54400,5440,5440,43520,"BMW","M5",2011,"N"
"207",128,32,"OH","100/300",2000,768.91,0,"FEMALE","College","sales","chess","other-relative",0,-39300,"Single Vehicle Collision","Rear Collision","Total Loss","Fire","SC","Columbus",0,1,"?",1,0,"NO",59800,5980,5980,47840,"Ford","F150",1999,"Y"
"209",343,48,"IN","250/500",500,1451.54,3000000,"MALE","JD","adm-clerical","hiking","husband",0,0,"Multi-vehicle Collision","Side Collision","Total Loss","Police","SC","Riverwood",13,4,"NO",2,3,"NO",65070,7230,14460,43380,"Mercedes","C300",2003,"N"
"210",404,53,"IN","250/500",500,767.14,0,"MALE","Associate","sales","reading","not-in-family",25500,-36700,"Parked Car","?","Trivial Damage","Police","WV","Columbus",8,1,"NO",0,1,"NO",8800,1760,880,6160,"Suburu","Legacy",2002,"N"
"211",63,24,"OH","250/500",2000,1620.89,0,"FEMALE","High School","handlers-cleaners","movies","other-relative",0,0,"Vehicle Theft","?","Minor Damage","Police","NC","Hillsdale",7,1,"NO",2,0,"NO",6120,1020,1020,4080,"Toyota","Corolla",2015,"N"
"212",210,37,"IN","500/1000",2000,1048.46,0,"MALE","High School","priv-house-serv","skydiving","not-in-family",59900,0,"Vehicle Theft","?","Trivial Damage","None","OH","Columbus",9,1,"?",1,2,"?",7080,1180,590,5310,"Dodge","RAM",1999,"N"
"213",335,50,"OH","100/300",1000,1538.26,6000000,"MALE","High School","sales","yachting","other-relative",62200,-31400,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","NY","Riverwood",12,3,"YES",2,3,"YES",34320,8580,4290,21450,"Volkswagen","Passat",2009,"N"
"214",11,40,"OH","500/1000",2000,1217.69,0,"FEMALE","MD","prof-specialty","reading","wife",24000,0,"Multi-vehicle Collision","Side Collision","Major Damage","Other","SC","Springfield",6,3,"?",1,0,"?",53460,9720,9720,34020,"Dodge","Neon",2004,"Y"
"216",272,43,"OH","100/300",1000,1279.13,0,"MALE","PhD","craft-repair","bungie-jumping","other-relative",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","NC","Springfield",5,3,"?",1,2,"YES",81070,7370,14740,58960,"Audi","A3",2006,"Y"
"217",69,26,"IL","100/300",2000,924.72,0,"FEMALE","High School","machine-op-inspct","base-jumping","unmarried",0,0,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","NY","Columbus",14,1,"NO",2,2,"NO",63120,5260,10520,47340,"Audi","A5",2008,"N"
"218",38,28,"OH","250/500",1000,1019.44,0,"MALE","Masters","transport-moving","yachting","not-in-family",0,-39700,"Vehicle Theft","?","Trivial Damage","None","NC","Springfield",17,1,"?",2,1,"NO",7200,1440,720,5040,"BMW","X5",2004,"N"
"219",328,46,"IL","500/1000",500,1314.6,0,"FEMALE","MD","prof-specialty","exercise","not-in-family",24800,0,"Single Vehicle Collision","Rear Collision","Total Loss","Other","WV","Hillsdale",0,1,"?",2,3,"?",70290,12780,6390,51120,"Saab","92x",1998,"Y"
"224",362,50,"IL","250/500",500,1198.34,4000000,"MALE","Associate","sales","board-games","wife",53000,-72500,"Multi-vehicle Collision","Side Collision","Total Loss","Fire","NY","Columbus",17,3,"?",1,1,"NO",57060,6340,6340,44380,"Mercedes","E400",1995,"N"
"225",241,38,"IN","100/300",2000,1003.23,0,"FEMALE","Associate","tech-support","kayaking","not-in-family",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Fire","VA","Arlington",23,3,"?",0,3,"YES",77880,12980,12980,51920,"Accura","MDX",2008,"N"
"227",371,52,"IL","250/500",1000,1242.96,7000000,"FEMALE","High School","other-service","paintball","own-child",0,-37100,"Multi-vehicle Collision","Rear Collision","Minor Damage","Other","NY","Riverwood",2,2,"YES",2,0,"?",88920,6840,13680,68400,"Accura","RSX",2010,"N"
"228",343,52,"IL","500/1000",1000,1053.02,0,"FEMALE","Associate","prof-specialty","bungie-jumping","not-in-family",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Other","NY","Arlington",2,1,"?",0,2,"NO",47630,12990,4330,30310,"Toyota","Corolla",2005,"Y"
"229",377,53,"IL","100/300",500,1693.63,0,"FEMALE","MD","craft-repair","kayaking","unmarried",0,-64000,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","WV","Hillsdale",10,3,"YES",1,3,"NO",59040,6560,6560,45920,"Saab","93",2015,"N"
"231",166,34,"OH","100/300",1000,1083.72,0,"FEMALE","High School","machine-op-inspct","base-jumping","wife",65600,-68200,"Single Vehicle Collision","Side Collision","Total Loss","Other","NY","Columbus",18,1,"NO",0,2,"YES",53680,4880,4880,43920,"Honda","CRV",2005,"N"
"233",235,42,"IN","250/500",500,1072.62,0,"FEMALE","Masters","machine-op-inspct","exercise","husband",39900,-60200,"Multi-vehicle Collision","Side Collision","Total Loss","Other","WV","Springfield",7,4,"?",2,1,"YES",69100,6910,6910,55280,"Toyota","Highlander",2006,"N"
"234",172,35,"IL","100/300",2000,1219.04,0,"MALE","MD","handlers-cleaners","paintball","own-child",63600,-68700,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","OH","Hillsdale",19,3,"?",2,0,"NO",79750,14500,14500,50750,"Nissan","Pathfinder",1999,"N"
"235",27,28,"IN","100/300",2000,1371.78,0,"MALE","JD","farming-fishing","polo","other-relative",0,-32500,"Multi-vehicle Collision","Front Collision","Major Damage","Other","PA","Riverwood",10,3,"?",0,2,"YES",53600,5360,10720,37520,"Audi","A5",2015,"Y"
"238",107,26,"IL","500/1000",2000,932.14,0,"MALE","MD","sales","cross-fit","own-child",40600,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","SC","Columbus",2,3,"NO",2,3,"NO",78650,14300,7150,57200,"Audi","A3",1996,"Y"
"239",272,41,"OH","500/1000",2000,1608.34,0,"FEMALE","Associate","farming-fishing","reading","own-child",33300,-10600,"Single Vehicle Collision","Side Collision","Major Damage","Other","NY","Springfield",19,1,"?",1,1,"?",71060,6460,12920,51680,"Saab","92x",2010,"N"
"240",151,37,"IN","500/1000",1000,1728.56,0,"FEMALE","Masters","farming-fishing","dancing","own-child",54000,0,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","WV","Northbrook",0,1,"YES",1,1,"?",38830,3530,3530,31770,"Suburu","Legacy",1999,"N"
"241",249,43,"IL","250/500",1000,1518.46,0,"FEMALE","MD","armed-forces","cross-fit","own-child",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Fire","SC","Riverwood",16,1,"?",0,0,"YES",53500,5350,5350,42800,"Saab","92x",2015,"N"
"243",190,40,"OH","500/1000",2000,965.21,0,"FEMALE","JD","exec-managerial","camping","other-relative",36900,-53700,"Parked Car","?","Trivial Damage","None","SC","Hillsdale",10,1,"?",2,1,"YES",6300,630,630,5040,"Nissan","Ultima",2001,"N"
"244",174,36,"IL","100/300",2000,1278.75,0,"FEMALE","College","tech-support","paintball","own-child",53200,-53800,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","NY","Riverwood",21,3,"?",2,2,"NO",65400,10900,10900,43600,"Dodge","RAM",2012,"N"
"245",95,28,"OH","250/500",1000,773.99,0,"MALE","Associate","armed-forces","board-games","other-relative",0,-70300,"Vehicle Theft","?","Trivial Damage","None","PA","Springfield",3,1,"YES",1,2,"NO",3200,640,320,2240,"Mercedes","E400",2014,"N"
"246",371,51,"IN","500/1000",1000,1532.47,0,"FEMALE","Associate","tech-support","golf","other-relative",60300,-24700,"Single Vehicle Collision","Rear Collision","Major Damage","Fire","NY","Arlington",7,1,"YES",0,3,"YES",75400,7540,15080,52780,"Dodge","RAM",2012,"Y"
"247",2,28,"IL","250/500",1000,1340.56,0,"FEMALE","JD","machine-op-inspct","golf","not-in-family",0,0,"Single Vehicle Collision","Side Collision","Minor Damage","Fire","NY","Northbend",19,1,"YES",0,2,"YES",58140,6460,6460,45220,"Saab","92x",2008,"N"
"248",269,44,"OH","100/300",500,1297.75,4000000,"FEMALE","JD","other-service","chess","own-child",0,-41400,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","SC","Columbus",15,3,"?",0,1,"?",98670,15180,15180,68310,"Chevrolet","Tahoe",2010,"Y"
"250",94,30,"IN","250/500",2000,1025.54,0,"FEMALE","High School","armed-forces","paintball","other-relative",0,-52600,"Single Vehicle Collision","Rear Collision","Major Damage","Fire","NC","Arlington",19,1,"?",1,3,"YES",64100,6410,6410,51280,"Chevrolet","Malibu",2001,"N"
"251",117,28,"OH","250/500",500,1264.77,0,"FEMALE","Associate","transport-moving","yachting","unmarried",47500,-32500,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","SC","Springfield",13,2,"YES",0,1,"?",55440,5040,10080,40320,"Suburu","Forrestor",2009,"Y"
"252",111,27,"OH","250/500",500,1459.97,5000000,"MALE","MD","sales","yachting","other-relative",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Police","SC","Northbend",2,3,"NO",1,2,"NO",80850,7350,14700,58800,"Ford","F150",2011,"Y"
"253",242,40,"OH","100/300",500,1238.65,0,"FEMALE","High School","transport-moving","bungie-jumping","husband",0,-44600,"Vehicle Theft","?","Trivial Damage","Police","WV","Springfield",5,1,"YES",1,1,"NO",7480,680,680,6120,"Saab","95",1998,"N"
"258",279,43,"OH","500/1000",2000,1281.25,0,"MALE","Associate","machine-op-inspct","cross-fit","other-relative",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Police","SC","Columbus",13,1,"YES",0,1,"NO",57690,6410,12820,38460,"Mercedes","C300",2010,"Y"
"259",244,40,"IL","100/300",500,1342.8,0,"FEMALE","MD","sales","base-jumping","husband",0,0,"Vehicle Theft","?","Trivial Damage","Police","NY","Springfield",2,1,"YES",1,3,"YES",5940,660,660,4620,"Toyota","Camry",2014,"N"
"261",122,29,"OH","250/500",1000,1629.94,0,"FEMALE","Masters","priv-house-serv","skydiving","other-relative",0,-47100,"Parked Car","?","Trivial Damage","None","SC","Riverwood",17,1,"?",0,1,"NO",3850,350,350,3150,"Dodge","Neon",2014,"N"
"262",156,31,"IL","100/300",2000,1134.08,0,"MALE","PhD","other-service","reading","husband",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Police","NC","Arlington",3,1,"?",2,0,"?",59000,5900,5900,47200,"Ford","Fusion",2013,"Y"
"263",232,43,"OH","250/500",500,1483.91,8000000,"MALE","College","machine-op-inspct","golf","husband",0,-33600,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","NY","Arlington",17,3,"NO",0,1,"?",70600,7060,14120,49420,"Volkswagen","Passat",2013,"Y"
"265",84,30,"IL","500/1000",2000,1035.79,0,"FEMALE","MD","protective-serv","kayaking","wife",44400,-51500,"Single Vehicle Collision","Side Collision","Minor Damage","Police","SC","Northbend",9,1,"NO",1,0,"YES",57640,5240,10480,41920,"Volkswagen","Passat",2010,"N"
"267",246,45,"IL","250/500",1000,1665.45,0,"MALE","JD","machine-op-inspct","hiking","wife",34400,-33100,"Multi-vehicle Collision","Side Collision","Major Damage","Fire","PA","Columbus",9,3,"?",2,2,"?",53280,11840,5920,35520,"Toyota","Camry",2006,"Y"
"268",35,29,"IN","500/1000",2000,653.66,0,"FEMALE","JD","handlers-cleaners","video-games","unmarried",52100,-46900,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","SC","Springfield",22,3,"NO",0,0,"?",78300,15660,7830,54810,"BMW","X5",2009,"N"
"269",156,37,"OH","100/300",500,1080.13,0,"MALE","Associate","protective-serv","reading","other-relative",0,-61000,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","PA","Springfield",15,3,"YES",0,3,"NO",41490,4610,4610,32270,"Nissan","Pathfinder",2001,"N"
"272",271,40,"IL","100/300",1000,1251.65,0,"FEMALE","Associate","other-service","camping","wife",71200,0,"Parked Car","?","Minor Damage","None","NY","Hillsdale",6,1,"NO",0,0,"NO",3080,560,280,2240,"Audi","A3",2012,"N"
"273",332,47,"IL","100/300",2000,1083.01,0,"MALE","MD","craft-repair","paintball","other-relative",91900,0,"Multi-vehicle Collision","Front Collision","Major Damage","Police","WV","Arlington",22,4,"YES",2,0,"?",71760,11040,11040,49680,"Jeep","Grand Cherokee",2010,"Y"
"274",107,26,"OH","100/300",500,974.59,0,"FEMALE","JD","armed-forces","skydiving","wife",62800,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","NY","Arlington",14,3,"?",1,0,"NO",59700,11940,11940,35820,"Nissan","Ultima",2002,"N"
"275",217,39,"IL","500/1000",2000,1399.85,0,"FEMALE","Masters","other-service","skydiving","other-relative",49900,-19800,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY","Columbus",16,3,"NO",0,2,"?",64920,10820,10820,43280,"Ford","Fusion",1997,"N"
"277",296,42,"IN","250/500",2000,1219.27,0,"MALE","Associate","tech-support","paintball","husband",53100,-63400,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","WV","Columbus",9,3,"YES",1,2,"NO",64080,7120,7120,49840,"Saab","93",2012,"N"
"278",264,41,"OH","100/300",500,1411.3,0,"MALE","PhD","prof-specialty","cross-fit","unmarried",55600,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","PA","Northbrook",4,1,"NO",1,0,"?",60390,10980,5490,43920,"BMW","M5",2004,"Y"
"279",108,33,"IL","100/300",2000,694.45,0,"FEMALE","JD","armed-forces","exercise","not-in-family",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Police","WV","Northbend",6,3,"?",0,1,"YES",64350,5850,11700,46800,"Nissan","Pathfinder",2011,"Y"
"280",32,38,"IL","100/300",500,1006.77,6000000,"FEMALE","College","other-service","sleeping","own-child",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Police","SC","Northbend",15,3,"YES",2,1,"YES",70900,14180,7090,49630,"BMW","X6",1997,"N"
"281",259,39,"OH","250/500",1000,1422.36,0,"FEMALE","JD","craft-repair","movies","unmarried",0,-83900,"Multi-vehicle Collision","Side Collision","Minor Damage","Fire","PA","Columbus",12,3,"NO",1,3,"?",46560,7760,7760,31040,"Nissan","Ultima",2012,"N"
"282",186,33,"IN","100/300",1000,1348.32,0,"FEMALE","Associate","craft-repair","cross-fit","wife",37600,-37600,"Vehicle Theft","?","Trivial Damage","Police","NY","Arlington",3,1,"NO",2,1,"?",4730,860,860,3010,"Chevrolet","Malibu",2013,"Y"
"284",436,58,"OH","250/500",2000,1407.01,5000000,"MALE","PhD","tech-support","sleeping","other-relative",47400,-27600,"Single Vehicle Collision","Rear Collision","Major Damage","Police","WV","Riverwood",10,1,"?",0,2,"?",59900,11980,5990,41930,"BMW","X5",1997,"Y"
"285",189,36,"OH","250/500",2000,1388.58,0,"FEMALE","MD","priv-house-serv","basketball","own-child",0,-49400,"Multi-vehicle Collision","Side Collision","Major Damage","Police","WV","Riverwood",17,3,"?",1,3,"YES",79560,13260,13260,53040,"Ford","Escape",2009,"N"
"286",105,33,"IL","500/1000",500,1310.76,0,"FEMALE","High School","adm-clerical","kayaking","not-in-family",0,-40900,"Single Vehicle Collision","Front Collision","Total Loss","Other","VA","Northbrook",8,1,"YES",0,1,"?",70290,12780,6390,51120,"Accura","MDX",2008,"N"
"287",163,31,"IN","100/300",1000,1004.63,6000000,"MALE","JD","priv-house-serv","hiking","not-in-family",26900,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","SC","Hillsdale",14,3,"YES",2,0,"NO",63910,5810,11620,46480,"Suburu","Forrestor",1999,"N"
"292",59,40,"IL","250/500",2000,782.23,0,"MALE","College","protective-serv","golf","other-relative",64200,-32300,"Multi-vehicle Collision","Front Collision","Total Loss","Ambulance","OH","Springfield",0,3,"?",0,2,"NO",51570,5730,11460,34380,"BMW","X5",2010,"N"
"293",39,31,"IL","250/500",2000,1366.9,0,"FEMALE","High School","handlers-cleaners","polo","husband",0,-15700,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","NC","Northbend",14,3,"?",1,0,"NO",52700,10540,10540,31620,"BMW","X6",2014,"Y"
"295",156,37,"IN","250/500",500,1090.65,0,"MALE","High School","exec-managerial","golf","unmarried",0,-51800,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NC","Columbus",16,4,"?",1,2,"YES",53400,5340,5340,42720,"Honda","Civic",2010,"Y"
"296",123,31,"IN","250/500",500,1326,0,"FEMALE","Associate","prof-specialty","basketball","wife",0,-54600,"Single Vehicle Collision","Side Collision","Total Loss","Fire","SC","Northbrook",13,1,"?",1,2,"NO",72120,12020,12020,48080,"Mercedes","ML350",2009,"N"
